Algorytm genetyczny

Parametry
Powtarzanie kolorów w kodzie dozwolone;TAK
Kod do odgadnięcia;2 3 4 5 
Początkowa kombinacja;1 1 2 2 
Liczba symulacji;100
Wielkość populacji;400
Procent osobników używanych do reprodukcji;100
Metoda selekcji;Turniej
Prawdopodobieństwo krzyżowania;0,5
Prawdopodobieństwo mutacji;0,4
Makymalna liczba pokoleń;13

Wyniki
Średnia liczba populacji;5,380
Liczba zabitych populacji;3
Najmniejsza liczba generacji;13
Największa liczba generacji;2
